"contract_id","property_id","ground_truth","llm_answer","llm_explanation","llm_counterexample","time","tokens","raw_output"
"1","fair-split-geq","False","TRUE","The contract enforces released[a] ≤ (address(this).balance + totalReleased) * shares[a] / totalShares at all times. Specifically:\n- totalReceived is defined as address(this).balance + totalReleased (releasable).\n- pendingPayment(account, totalReceived, released[account]) = (totalReceived * shares[account]) / totalShares - released[account].\n- release() increases released[account] exactly by releasable(account), i.e., by the non-negative difference between the allocation and alreadyReleased, and then transfers that amount. Thus after release, released[account] equals floor(totalReceived * shares[account] / totalShares).\n- On release, address(this).balance decreases by the payment while totalReleased increases by the same amount, keeping totalReceived constant; deposits only increase totalReceived. Therefore, released[account] can never exceed the computed allocation.\nRelevant code: releasable(), pendingPayment(), and release().","N/A","116.45584058761597","20000","ANSWER: TRUE\nEXPLANATION: The contract enforces released[a] ≤ (address(this).balance + totalReleased) * shares[a] / totalShares at all times. Specifically:\n- totalReceived is defined as address(this).balance + totalReleased (releasable).\n- pendingPayment(account, totalReceived, released[account]) = (totalReceived * shares[account]) / totalShares - released[account].\n- release() increases released[account] exactly by releasable(account), i.e., by the non-negative difference between the allocation and alreadyReleased, and then transfers that amount. Thus after release, released[account] equals floor(totalReceived * shares[account] / totalShares).\n- On release, address(this).balance decreases by the payment while totalReleased increases by the same amount, keeping totalReceived constant; deposits only increase totalReceived. Therefore, released[account] can never exceed the computed allocation.\nRelevant code: releasable(), pendingPayment(), and release().\nCOUNTEREXAMPLE: N/A"
"1","fair-split-geq-no-overflow","True","TRUE","The contract defines totalReceived as address(this).balance + totalReleased (releasable). For each payee a, pendingPayment computes ((totalReceived * shares[a]) / totalShares) - released[a]. The only way to increase released[a] is via release, which sets payment = pendingPayment and then updates released[a] += payment and totalReleased += payment. Since payment is never more than the computed due, released[a] never exceeds (totalReceived * shares[a]) / totalShares. Moreover, during a release, totalReceived remains constant (balance decreases by payment while totalReleased increases by the same payment), preserving the invariant.","N/A","125.50065541267395","20000","ANSWER: TRUE\nEXPLANATION: The contract defines totalReceived as address(this).balance + totalReleased (releasable). For each payee a, pendingPayment computes ((totalReceived * shares[a]) / totalShares) - released[a]. The only way to increase released[a] is via release, which sets payment = pendingPayment and then updates released[a] += payment and totalReleased += payment. Since payment is never more than the computed due, released[a] never exceeds (totalReceived * shares[a]) / totalShares. Moreover, during a release, totalReceived remains constant (balance decreases by payment while totalReleased increases by the same payment), preserving the invariant.\nCOUNTEREXAMPLE: N/A"
"1","non-zero-payees","True","TRUE","The only way entries are added to the payees array is via addPayee, called from the constructor. addPayee enforces account != ZERO_ADDRESS (require in addPayee), preventing the zero address from ever being pushed into payees. There are no other functions that modify payees after deployment.","N/A","14.69156527519226","20000","ANSWER: TRUE\nEXPLANATION: The only way entries are added to the payees array is via addPayee, called from the constructor. addPayee enforces account != ZERO_ADDRESS (require in addPayee), preventing the zero address from ever being pushed into payees. There are no other functions that modify payees after deployment.\nCOUNTEREXAMPLE: N/A"
"2","non-zero-payees","True","TRUE","The only way to insert into the payees array is via addPayee, which requires account != ZERO_ADDRESS (""""""""PaymentSplitter: account is the zero address""""""""). The constructor populates the three payees exclusively through addPayee, and there are no functions to modify payees afterward.","N/A","13.73404049873352","20000","ANSWER: TRUE\nEXPLANATION: The only way to insert into the payees array is via addPayee, which requires account != ZERO_ADDRESS (""""""""PaymentSplitter: account is the zero address""""""""). The constructor populates the three payees exclusively through addPayee, and there are no functions to modify payees afterward.\nCOUNTEREXAMPLE: N/A"
"3","non-zero-payees","True","TRUE","The constructor requires each of the three payees to be non-zero before adding them to the payees array (three separate require checks: payee1 != ZERO_ADDRESS, payee2 != ZERO_ADDRESS, payee3 != ZERO_ADDRESS). After construction, there are no functions that modify the payees array. Therefore, all addresses in payees are always non-zero.","N/A","17.48133873939514","20000","ANSWER: TRUE\nEXPLANATION: The constructor requires each of the three payees to be non-zero before adding them to the payees array (three separate require checks: payee1 != ZERO_ADDRESS, payee2 != ZERO_ADDRESS, payee3 != ZERO_ADDRESS). After construction, there are no functions that modify the payees array. Therefore, all addresses in payees are always non-zero.\nCOUNTEREXAMPLE: N/A"
"4","non-zero-payees","True","TRUE","The only way entries are added to the payees array is via addPayee, which enforces account != ZERO_ADDRESS. The constructor iterates over the provided payees_ and calls addPayee for each; there are no functions to add or modify payees afterward. Therefore, any deployed instance must have all payees non-zero.","N/A","18.12173581123352","20000","ANSWER: TRUE\nEXPLANATION: The only way entries are added to the payees array is via addPayee, which enforces account != ZERO_ADDRESS. The constructor iterates over the provided payees_ and calls addPayee for each; there are no functions to add or modify payees afterward. Therefore, any deployed instance must have all payees non-zero.\nCOUNTEREXAMPLE: N/A"
"5","non-zero-payees","True","TRUE","The only way payees are added is via the private addPayee function, which is called exclusively from the constructor. addPayee enforces that account != ZERO_ADDRESS via require (addPayee). Therefore, every element pushed into the payees array is non-zero and no other function can later modify payees.","N/A","10.349046230316162","20000","ANSWER: TRUE\nEXPLANATION: The only way payees are added is via the private addPayee function, which is called exclusively from the constructor. addPayee enforces that account != ZERO_ADDRESS via require (addPayee). Therefore, every element pushed into the payees array is non-zero and no other function can later modify payees.\nCOUNTEREXAMPLE: N/A"
"6","non-zero-payees","False","FALSE","The constructor calls addPayee for each provided payee. In addPayee, the zero-address check compares against a mis-set constant ZERO_ADDRESS = 0x...80 (not the true 0x0), via require(account != ZERO_ADDRESS, ...). This allows address(0) to be added to payees. See ZERO_ADDRESS definition and addPayee.","Deploy the contract with payees_ = [address(0x0)] and shares_ = [1]. The require(account != ZERO_ADDRESS) passes since ZERO_ADDRESS != address(0), so payees will contain address(0), violating the property.","14.94186282157898","20000","ANSWER: FALSE\nEXPLANATION: The constructor calls addPayee for each provided payee. In addPayee, the zero-address check compares against a mis-set constant ZERO_ADDRESS = 0x...80 (not the true 0x0), via require(account != ZERO_ADDRESS, ...). This allows address(0) to be added to payees. See ZERO_ADDRESS definition and addPayee.\nCOUNTEREXAMPLE: Deploy the contract with payees_ = [address(0x0)] and shares_ = [1]. The require(account != ZERO_ADDRESS) passes since ZERO_ADDRESS != address(0), so payees will contain address(0), violating the property."
"1","positive-shares","True","TRUE","The only way to populate the payees array is via addPayee, which is called from the constructor. addPayee enforces shares_ > 0 and pushes the account to payees only after this check. There are no functions that later modify shares or add payees (addPayee is private), so every address in payees always has shares[addr] > 0.","N/A","10.853040933609009","20000","ANSWER: TRUE\nEXPLANATION: The only way to populate the payees array is via addPayee, which is called from the constructor. addPayee enforces shares_ > 0 and pushes the account to payees only after this check. There are no functions that later modify shares or add payees (addPayee is private), so every address in payees always has shares[addr] > 0.\nCOUNTEREXAMPLE: N/A"
"2","positive-shares","True","TRUE","The only way payees are added is via addPayee, which is called exactly three times in the constructor. addPayee requires shares_ > 0 and sets shares[account] = shares_. No other function modifies shares or payees thereafter. Therefore every address in payees has shares[addr] > 0.","N/A","18.533000230789185","20000","ANSWER: TRUE\nEXPLANATION: The only way payees are added is via addPayee, which is called exactly three times in the constructor. addPayee requires shares_ > 0 and sets shares[account] = shares_. No other function modifies shares or payees thereafter. Therefore every address in payees has shares[addr] > 0.\nCOUNTEREXAMPLE: N/A"
